"year","total","region","type","population","providerRate","percentFemale","percentAge"
2012,0,"Jackson","county",40788,0,-9,-9
2013,0,"Jackson","county",40810,0,-9,-9
2014,0,"Jackson","county",41039,0,-9,-9
2015,0,"Jackson","county",41597,0,-9,-9
2016,0,"Jackson","county",42574,0,-9,-9
2017,0,"Jackson","county",43116,0,-9,-9
2000,0,"Johnston","county",121965,0,-9,-9
2001,0,"Johnston","county",127784,0,-9,-9
2002,0,"Johnston","county",132293,0,-9,-9
2003,0,"Johnston","county",136802,0,-9,-9
2004,0,"Johnston","county",140719,0,-9,-9
2005,0,"Johnston","county",145968,0,-9,-9
2006,0,"Johnston","county",151589,0,-9,-9
2007,0,"Johnston","county",157296,0,-9,-9
2008,0,"Johnston","county",162776,0,-9,-9
2009,0,"Johnston","county",168253,0,-9,-9
2010,0,"Johnston","county",170151,0,-9,-9
2011,0,"Johnston","county",172570,0,-9,-9
2012,1,"Johnston","county",174839,0.06,-9,-9
2013,1,"Johnston","county",177308,0.06,-9,-9
2014,1,"Johnston","county",180048,0.06,-9,-9
2015,2,"Johnston","county",184519,0.11,-9,-9
2016,2,"Johnston","county",189460,0.11,-9,-9
2017,2,"Johnston","county",194705,0.1,-9,-9
2000,0,"Jones","county",10381,0,-9,-9
2001,0,"Jones","county",10304,0,-9,-9
2002,0,"Jones","county",10384,0,-9,-9
2003,0,"Jones","county",10465,0,-9,-9
2004,0,"Jones","county",10257,0,-9,-9
2005,0,"Jones","county",10216,0,-9,-9
2006,0,"Jones","county",10318,0,-9,-9
2007,0,"Jones","county",10315,0,-9,-9
2008,0,"Jones","county",10294,0,-9,-9
2009,0,"Jones","county",10153,0,-9,-9
2010,0,"Jones","county",10159,0,-9,-9
2011,0,"Jones","county",10327,0,-9,-9
2012,0,"Jones","county",10615,0,-9,-9
2013,1,"Jones","county",10554,0.95,-9,-9
2014,1,"Jones","county",10468,0.96,-9,-9
2015,1,"Jones","county",10423,0.96,-9,-9
2016,1,"Jones","county",10354,0.97,-9,-9
2017,1,"Jones","county",10356,0.97,-9,-9
2000,2,"Lee","county",49040,0.41,-9,-9
2001,2,"Lee","county",49254,0.41,-9,-9
2002,1,"Lee","county",50195,0.2,-9,-9
2003,1,"Lee","county",51137,0.2,-9,-9
2004,1,"Lee","county",50561,0.2,-9,-9
2005,1,"Lee","county",50493,0.2,-9,-9
2006,1,"Lee","county",55282,0.18,-9,-9
2007,1,"Lee","county",56376,0.18,-9,-9
2008,1,"Lee","county",57511,0.17,-9,-9
2009,1,"Lee","county",58574,0.17,-9,-9
2010,1,"Lee","county",58059,0.17,-9,-9
2011,1,"Lee","county",58304,0.17,-9,-9
2012,1,"Lee","county",59111,0.17,-9,-9
2013,1,"Lee","county",59344,0.17,-9,-9
2014,1,"Lee","county",59194,0.17,-9,-9
2015,4,"Lee","county",58908,0.68,-9,-9
2016,4,"Lee","county",59244,0.68,-9,-9
2017,4,"Lee","county",59337,0.67,-9,-9
2000,2,"Lenoir","county",59648,0.34,-9,-9
2001,2,"Lenoir","county",59318,0.34,-9,-9
2002,1,"Lenoir","county",59526,0.17,-9,-9
2003,1,"Lenoir","county",59735,0.17,-9,-9
2004,2,"Lenoir","county",59091,0.34,-9,-9
2005,1,"Lenoir","county",58378,0.17,-9,-9
2006,1,"Lenoir","county",58170,0.17,-9,-9
2007,1,"Lenoir","county",57642,0.17,-9,-9
2008,1,"Lenoir","county",57535,0.17,-9,-9
2009,1,"Lenoir","county",57232,0.17,-9,-9
2010,1,"Lenoir","county",59493,0.17,-9,-9
2011,1,"Lenoir","county",59314,0.17,-9,-9
2012,1,"Lenoir","county",59401,0.17,-9,-9
2013,1,"Lenoir","county",59046,0.17,-9,-9
2014,1,"Lenoir","county",58830,0.17,-9,-9
2015,1,"Lenoir","county",58338,0.17,-9,-9
2016,1,"Lenoir","county",57587,0.17,-9,-9
2017,1,"Lenoir","county",57477,0.17,-9,-9
2000,1,"Lincoln","county",63780,0.16,-9,-9
2001,1,"Lincoln","county",65397,0.15,-9,-9
2002,2,"Lincoln","county",66790,0.3,-9,-9
2003,2,"Lincoln","county",68185,0.29,-9,-9
2004,1,"Lincoln","county",68630,0.15,-9,-9
2005,1,"Lincoln","county",69145,0.14,-9,-9
2006,1,"Lincoln","county",71298,0.14,-9,-9
2007,1,"Lincoln","county",72776,0.14,-9,-9
2008,1,"Lincoln","county",74552,0.13,-9,-9
2009,1,"Lincoln","county",75718,0.13,-9,-9
2010,1,"Lincoln","county",78684,0.13,-9,-9
2011,1,"Lincoln","county",79026,0.13,-9,-9
2012,0,"Lincoln","county",79267,0,-9,-9
2013,0,"Lincoln","county",79745,0,-9,-9
2014,0,"Lincoln","county",80202,0,-9,-9
2015,0,"Lincoln","county",81397,0,-9,-9
2016,0,"Lincoln","county",82033,0,-9,-9
2017,0,"Lincoln","county",83251,0,-9,-9
2000,0,"Macon","county",29811,0,-9,-9
2001,0,"Macon","county",30414,0,-9,-9
2002,0,"Macon","county",31042,0,-9,-9
2003,0,"Macon","county",31670,0,-9,-9
2004,0,"Macon","county",31968,0,-9,-9
2005,0,"Macon","county",32257,0,-9,-9
2006,0,"Macon","county",33078,0,-9,-9
2007,0,"Macon","county",20495,0,-9,-9
2008,0,"Macon","county",34225,0,-9,-9
2009,0,"Macon","county",34480,0,-9,-9
2010,0,"Macon","county",33946,0,-9,-9
2011,0,"Macon","county",34459,0,-9,-9
2012,0,"Macon","county",33985,0,-9,-9
2013,0,"Macon","county",34151,0,-9,-9
2014,0,"Macon","county",34428,0,-9,-9
2015,0,"Macon","county",34771,0,-9,-9
2016,0,"Macon","county",35047,0,-9,-9
2017,0,"Macon","county",35413,0,-9,-9
2000,0,"Madison","county",19635,0,-9,-9
2001,0,"Madison","county",19779,0,-9,-9
2002,0,"Madison","county",20047,0,-9,-9
2003,0,"Madison","county",20316,0,-9,-9
2004,0,"Madison","county",20196,0,-9,-9
2005,0,"Madison","county",20361,0,-9,-9
2006,0,"Madison","county",20449,0,-9,-9
2007,0,"Madison","county",23906,0,-9,-9
2008,0,"Madison","county",20814,0,-9,-9
2009,0,"Madison","county",20846,0,-9,-9
2010,0,"Madison","county",20795,0,-9,-9
2011,0,"Madison","county",21193,0,-9,-9
2012,1,"Madison","county",21192,0.47,-9,-9
2013,1,"Madison","county",21372,0.47,-9,-9
2014,1,"Madison","county",21584,0.46,-9,-9
2015,1,"Madison","county",21663,0.46,-9,-9
2016,1,"Madison","county",21979,0.45,-9,-9
2017,1,"Madison","county",22240,0.45,-9,-9
2000,0,"Martin","county",25593,0,-9,-9
2001,2,"Martin","county",25344,0.79,-9,-9
2002,2,"Martin","county",25397,0.79,-9,-9
2003,2,"Martin","county",25450,0.79,-9,-9
2004,2,"Martin","county",24930,0.8,-9,-9
2005,2,"Martin","county",24543,0.81,-9,-9
2006,2,"Martin","county",24396,0.82,-9,-9
2007,2,"Martin","county",44064,0.45,-9,-9
2008,2,"Martin","county",23873,0.84,-9,-9
2009,2,"Martin","county",23859,0.84,-9,-9
2010,2,"Martin","county",24498,0.82,-9,-9
2011,2,"Martin","county",24083,0.83,-9,-9
2012,2,"Martin","county",24020,0.83,-9,-9
2013,2,"Martin","county",23750,0.84,-9,-9
2014,2,"Martin","county",23714,0.84,-9,-9
2015,2,"Martin","county",23746,0.84,-9,-9
2016,2,"Martin","county",23606,0.85,-9,-9
2017,2,"Martin","county",23510,0.85,-9,-9
2000,0,"McDowell","county",42151,0,-9,-9
2001,0,"McDowell","county",42834,0,-9,-9
2002,0,"McDowell","county",43500,0,-9,-9
2003,0,"McDowell","county",44166,0,-9,-9
2004,0,"McDowell","county",43647,0,-9,-9
2005,0,"McDowell","county",43576,0,-9,-9
2006,0,"McDowell","county",43636,0,-9,-9
2007,0,"McDowell","county",33626,0,-9,-9
2008,0,"McDowell","county",44570,0,-9,-9
2009,0,"McDowell","county",44749,0,-9,-9
2010,0,"McDowell","county",45031,0,-9,-9
2011,0,"McDowell","county",45462,0,-9,-9
2012,0,"McDowell","county",45288,0,-9,-9
2013,0,"McDowell","county",45231,0,-9,-9
2014,0,"McDowell","county",45320,0,-9,-9
2015,0,"McDowell","county",45370,0,-9,-9
2016,0,"McDowell","county",45510,0,-9,-9
2017,0,"McDowell","county",45716,0,-9,-9
2000,24,"Mecklenburg","county",695454,0.35,0.1667,0
2001,26,"Mecklenburg","county",713757,0.36,0.1154,0
2002,25,"Mecklenburg","county",734390,0.34,0.12,0
2003,26,"Mecklenburg","county",755021,0.34,0.1154,0
2004,28,"Mecklenburg","county",769843,0.36,0.1786,0
2005,29,"Mecklenburg","county",786651,0.37,0.1379,0
2006,31,"Mecklenburg","county",826897,0.37,0.1613,0
2007,30,"Mecklenburg","county",863147,0.35,0.2333,0
2008,31,"Mecklenburg","county",877173,0.35,0.2258,0.0323
2009,30,"Mecklenburg","county",894445,0.34,0.2333,0
2010,31,"Mecklenburg","county",923944,0.34,0.2581,0
2011,32,"Mecklenburg","county",940697,0.34,0.2188,0
2012,33,"Mecklenburg","county",963165,0.34,0.2121,0
2013,32,"Mecklenburg","county",991867,0.32,0.2188,0
2014,33,"Mecklenburg","county",1013199,0.33,0.2424,0
2015,35,"Mecklenburg","county",1035605,0.34,0.2571,0
2016,33,"Mecklenburg","county",1053545,0.31,0.1818,0.0303
2017,34,"Mecklenburg","county",1077301,0.32,0.2647,0.0588
2000,0,"Mitchell","county",15687,0,-9,-9
2001,0,"Mitchell","county",15872,0,-9,-9
2002,0,"Mitchell","county",15950,0,-9,-9
2003,0,"Mitchell","county",16028,0,-9,-9
2004,0,"Mitchell","county",16052,0,-9,-9
2005,0,"Mitchell","county",16101,0,-9,-9
2006,0,"Mitchell","county",15894,0,-9,-9
2007,0,"Mitchell","county",15950,0,-9,-9
2008,0,"Mitchell","county",16034,0,-9,-9
2009,1,"Mitchell","county",15974,0.63,-9,-9
2010,1,"Mitchell","county",15588,0.64,-9,-9
2011,1,"Mitchell","county",15501,0.65,-9,-9
2012,1,"Mitchell","county",15396,0.65,-9,-9
2013,1,"Mitchell","county",15407,0.65,-9,-9
2014,1,"Mitchell","county",15825,0.63,-9,-9
2015,1,"Mitchell","county",15335,0.65,-9,-9
2016,1,"Mitchell","county",15266,0.66,-9,-9
2017,1,"Mitchell","county",15237,0.66,-9,-9
2000,1,"Montgomery","county",26822,0.37,-9,-9
2001,1,"Montgomery","county",26961,0.37,-9,-9
2002,1,"Montgomery","county",27348,0.37,-9,-9
2003,1,"Montgomery","county",27735,0.36,-9,-9
2004,1,"Montgomery","county",27680,0.36,-9,-9
2005,1,"Montgomery","county",27278,0.37,-9,-9
2006,1,"Montgomery","county",27505,0.36,-9,-9
2007,1,"Montgomery","county",27588,0.36,-9,-9
2008,1,"Montgomery","county",27656,0.36,-9,-9
2009,1,"Montgomery","county",27988,0.36,-9,-9
2010,1,"Montgomery","county",27796,0.36,-9,-9
2011,1,"Montgomery","county",27864,0.36,-9,-9
2012,1,"Montgomery","county",27914,0.36,-9,-9
2013,1,"Montgomery","county",27768,0.36,-9,-9
2014,1,"Montgomery","county",27820,0.36,-9,-9
2015,1,"Montgomery","county",27826,0.36,-9,-9
2016,1,"Montgomery","county",27768,0.36,-9,-9
2017,1,"Montgomery","county",27865,0.36,-9,-9
2000,3,"Moore","county",74769,0.4,-9,-9
2001,3,"Moore","county",76356,0.39,-9,-9
2002,4,"Moore","county",77862,0.51,-9,-9
2003,4,"Moore","county",79368,0.5,-9,-9
2004,4,"Moore","county",79900,0.5,-9,-9
2005,4,"Moore","county",80497,0.5,-9,-9
2006,4,"Moore","county",82288,0.49,-9,-9
2007,5,"Moore","county",83932,0.6,0,0.2
2008,6,"Moore","county",85293,0.7,0.1667,0.3333
2009,5,"Moore","county",86958,0.57,0.2,0.4
2010,5,"Moore","county",88594,0.56,0.2,0.4
2011,5,"Moore","county",89395,0.56,0.2,0.4
2012,5,"Moore","county",90707,0.55,0.2,0.4
2013,5,"Moore","county",91937,0.54,0.2,0.4
2014,5,"Moore","county",93078,0.54,0.2,0.2
2015,5,"Moore","county",94492,0.53,0.2,0.2
2016,5,"Moore","county",96102,0.52,0.2,0.2
2017,5,"Moore","county",97597,0.51,0.2,0.2
2000,2,"Nash","county",87420,0.23,-9,-9
2001,2,"Nash","county",88350,0.23,-9,-9
2002,2,"Nash","county",89396,0.22,-9,-9
2003,2,"Nash","county",90443,0.22,-9,-9
2004,2,"Nash","county",90546,0.22,-9,-9
2005,2,"Nash","county",91530,0.22,-9,-9
2006,2,"Nash","county",92223,0.22,-9,-9
2007,2,"Nash","county",92915,0.22,-9,-9
2008,4,"Nash","county",93999,0.43,-9,-9
2009,3,"Nash","county",95814,0.31,-9,-9
2010,3,"Nash","county",96215,0.31,-9,-9
2011,3,"Nash","county",96122,0.31,-9,-9
2012,3,"Nash","county",95533,0.31,-9,-9
2013,3,"Nash","county",94744,0.32,-9,-9
2014,4,"Nash","county",94525,0.42,-9,-9
2015,4,"Nash","county",94370,0.42,-9,-9
2016,4,"Nash","county",94421,0.42,-9,-9
2017,3,"Nash","county",94365,0.32,-9,-9
2000,10,"New Hanover","county",160307,0.62,0.1,0.1
2001,12,"New Hanover","county",163804,0.73,0.1667,0.0833
2002,12,"New Hanover","county",167542,0.72,0.0833,0.0833
2003,12,"New Hanover","county",171279,0.7,0.1667,0
2004,10,"New Hanover","county",172780,0.58,0.2,0
2005,10,"New Hanover","county",177692,0.56,0.2,0
2006,11,"New Hanover","county",184116,0.6,0.1818,0
2007,12,"New Hanover","county",189922,0.63,0.1667,0
2008,11,"New Hanover","county",192279,0.57,0.1818,0
2009,11,"New Hanover","county",194099,0.57,0.1818,0
2010,12,"New Hanover","county",203439,0.59,0.1667,0.0833
2011,10,"New Hanover","county",206774,0.48,0.1,0.2
2012,13,"New Hanover","county",209964,0.62,0.1538,0.1538
2013,13,"New Hanover","county",213809,0.61,0.1538,0.1538
2014,12,"New Hanover","county",216955,0.55,0.1667,0.25
2015,13,"New Hanover","county",220231,0.59,0.1538,0.2308
2016,13,"New Hanover","county",223608,0.58,0.1538,0.2308
2017,14,"New Hanover","county",227261,0.62,0.1429,0.2143
2000,1,"Northampton","county",22086,0.45,-9,-9
2001,1,"Northampton","county",22016,0.45,-9,-9
2002,0,"Northampton","county",22112,0,-9,-9
2003,0,"Northampton","county",22207,0,-9,-9
2004,0,"Northampton","county",21820,0,-9,-9
2005,0,"Northampton","county",21507,0,-9,-9
2006,0,"Northampton","county",21522,0,-9,-9
2007,0,"Northampton","county",21235,0,-9,-9
2008,0,"Northampton","county",21132,0,-9,-9
2009,0,"Northampton","county",21000,0,-9,-9
2010,0,"Northampton","county",22102,0,-9,-9
2011,0,"Northampton","county",21844,0,-9,-9
2012,1,"Northampton","county",21514,0.46,-9,-9
2013,1,"Northampton","county",21244,0.47,-9,-9
2014,0,"Northampton","county",21233,0,-9,-9
2015,0,"Northampton","county",21073,0,-9,-9
2016,0,"Northampton","county",20788,0,-9,-9
2017,0,"Northampton","county",20709,0,-9,-9
2000,6,"Onslow","county",150355,0.4,0.3333,0
2001,6,"Onslow","county",148460,0.4,0.3333,0
2002,7,"Onslow","county",149546,0.47,0.4286,0
2003,6,"Onslow","county",150633,0.4,0.5,0
2004,5,"Onslow","county",159817,0.31,0.4,0
2005,4,"Onslow","county",161958,0.25,-9,-9
2006,4,"Onslow","county",161224,0.25,-9,-9
2007,4,"Onslow","county",169302,0.24,-9,-9
2008,4,"Onslow","county",176014,0.23,-9,-9
2009,3,"Onslow","county",179447,0.17,-9,-9
2010,3,"Onslow","county",177912,0.17,-9,-9
2011,3,"Onslow","county",184228,0.16,-9,-9
2012,3,"Onslow","county",191030,0.16,-9,-9
2013,4,"Onslow","county",193925,0.21,-9,-9
2014,4,"Onslow","county",193204,0.21,-9,-9
2015,4,"Onslow","county",194636,0.21,-9,-9
2016,3,"Onslow","county",193914,0.15,-9,-9
2017,3,"Onslow","county",195621,0.15,-9,-9
2000,1,"Orange","county",118227,0.08,-9,-9
2001,1,"Orange","county",120952,0.08,-9,-9
2002,1,"Orange","county",123162,0.08,-9,-9
2003,4,"Orange","county",125372,0.32,-9,-9
2004,5,"Orange","county",123196,0.41,0.4,0.2
2005,5,"Orange","county",122474,0.41,0.4,0.4
2006,5,"Orange","county",123762,0.4,0.4,0.4
2007,4,"Orange","county",127344,0.31,-9,-9
2008,4,"Orange","county",129319,0.31,-9,-9
2009,4,"Orange","county",132306,0.3,-9,-9
2010,4,"Orange","county",134325,0.3,-9,-9
2011,4,"Orange","county",135776,0.29,-9,-9
2012,3,"Orange","county",138575,0.22,-9,-9
2013,3,"Orange","county",139694,0.21,-9,-9
2014,4,"Orange","county",139933,0.29,-9,-9
2015,4,"Orange","county",140144,0.29,-9,-9
2016,4,"Orange","county",140853,0.28,-9,-9
2017,4,"Orange","county",142365,0.28,-9,-9
2000,0,"Pamlico","county",12934,0,-9,-9
2001,0,"Pamlico","county",12848,0,-9,-9
2002,0,"Pamlico","county",12996,0,-9,-9
2003,0,"Pamlico","county",13144,0,-9,-9
2004,0,"Pamlico","county",13071,0,-9,-9
2005,0,"Pamlico","county",13125,0,-9,-9
2006,0,"Pamlico","county",13097,0,-9,-9
2007,0,"Pamlico","county",12947,0,-9,-9
2008,0,"Pamlico","county",12896,0,-9,-9
2009,0,"Pamlico","county",12842,0,-9,-9
2010,0,"Pamlico","county",13152,0,-9,-9
2011,0,"Pamlico","county",13214,0,-9,-9
2012,0,"Pamlico","county",13190,0,-9,-9
2013,0,"Pamlico","county",13071,0,-9,-9
2014,0,"Pamlico","county",13137,0,-9,-9
2015,0,"Pamlico","county",13174,0,-9,-9
2016,0,"Pamlico","county",13336,0,-9,-9
2017,0,"Pamlico","county",13268,0,-9,-9
2000,1,"Pasquotank","county",34897,0.29,-9,-9
2001,1,"Pasquotank","county",35030,0.29,-9,-9
2002,1,"Pasquotank","county",35354,0.28,-9,-9
2003,1,"Pasquotank","county",35678,0.28,-9,-9
2004,1,"Pasquotank","county",36681,0.27,-9,-9
2005,1,"Pasquotank","county",38118,0.26,-9,-9
2006,1,"Pasquotank","county",39968,0.25,-9,-9
2007,1,"Pasquotank","county",40880,0.24,-9,-9
2008,2,"Pasquotank","county",41178,0.49,-9,-9
2009,2,"Pasquotank","county",41713,0.48,-9,-9
2010,1,"Pasquotank","county",40664,0.25,-9,-9
2011,1,"Pasquotank","county",40438,0.25,-9,-9
2012,1,"Pasquotank","county",39941,0.25,-9,-9
2013,1,"Pasquotank","county",39458,0.25,-9,-9
2014,1,"Pasquotank","county",39691,0.25,-9,-9
2015,3,"Pasquotank","county",39731,0.76,-9,-9
2016,3,"Pasquotank","county",40284,0.74,-9,-9
2017,2,"Pasquotank","county",40598,0.49,-9,-9
2000,0,"Pender","county",41082,0,-9,-9
2001,0,"Pender","county",42051,0,-9,-9
2002,0,"Pender","county",43300,0,-9,-9
2003,0,"Pender","county",44548,0,-9,-9
2004,0,"Pender","county",44820,0,-9,-9
2005,0,"Pender","county",46142,0,-9,-9
2006,0,"Pender","county",48726,0,-9,-9
2007,1,"Pender","county",50430,0.2,-9,-9
2008,1,"Pender","county",51834,0.19,-9,-9
2009,1,"Pender","county",53107,0.19,-9,-9
2010,1,"Pender","county",52504,0.19,-9,-9
2011,1,"Pender","county",53437,0.19,-9,-9
2012,0,"Pender","county",54390,0,-9,-9
2013,0,"Pender","county",55568,0,-9,-9
2014,0,"Pender","county",56533,0,-9,-9
2015,0,"Pender","county",57941,0,-9,-9
2016,0,"Pender","county",59459,0,-9,-9
2017,0,"Pender","county",60999,0,-9,-9
2000,0,"Perquimans","county",11368,0,-9,-9
2001,0,"Perquimans","county",11545,0,-9,-9
2002,0,"Perquimans","county",11612,0,-9,-9
2003,0,"Perquimans","county",11678,0,-9,-9
2004,0,"Perquimans","county",11806,0,-9,-9
2005,0,"Perquimans","county",11939,0,-9,-9
2006,0,"Perquimans","county",12464,0,-9,-9
2007,0,"Perquimans","county",12722,0,-9,-9
2008,0,"Perquimans","county",12924,0,-9,-9
2009,0,"Perquimans","county",12951,0,-9,-9
2010,0,"Perquimans","county",13486,0,-9,-9
2011,0,"Perquimans","county",13537,0,-9,-9
2012,0,"Perquimans","county",13660,0,-9,-9
2013,0,"Perquimans","county",13771,0,-9,-9
2014,0,"Perquimans","county",13638,0,-9,-9
2015,0,"Perquimans","county",13648,0,-9,-9
2016,0,"Perquimans","county",13561,0,-9,-9
2017,0,"Perquimans","county",13546,0,-9,-9
2000,0,"Person","county",35623,0,-9,-9
2001,0,"Person","county",36130,0,-9,-9
2002,0,"Person","county",36661,0,-9,-9
2003,0,"Person","county",37192,0,-9,-9
2004,0,"Person","county",37594,0,-9,-9
2005,0,"Person","county",37344,0,-9,-9
2006,0,"Person","county",37440,0,-9,-9
2007,0,"Person","county",37640,0,-9,-9
2008,0,"Person","county",37510,0,-9,-9
2009,0,"Person","county",38274,0,-9,-9
2010,0,"Person","county",39585,0,-9,-9
2011,0,"Person","county",39700,0,-9,-9
2012,0,"Person","county",39197,0,-9,-9
2013,0,"Person","county",39192,0,-9,-9
2014,0,"Person","county",39265,0,-9,-9
2015,0,"Person","county",39574,0,-9,-9
2016,0,"Person","county",39728,0,-9,-9
2017,0,"Person","county",39868,0,-9,-9
2000,6,"Pitt","county",133798,0.45,0.1667,0
2001,6,"Pitt","county",134998,0.44,0.1667,0
2002,6,"Pitt","county",137260,0.44,0,0
2003,6,"Pitt","county",139521,0.43,0.1667,0
2004,7,"Pitt","county",141019,0.5,0.1429,0
2005,8,"Pitt","county",143376,0.56,0.125,0
2006,10,"Pitt","county",146398,0.68,0.1,0
2007,14,"Pitt","county",151970,0.92,0.1429,0
2008,15,"Pitt","county",155607,0.96,0.2,0
2009,8,"Pitt","county",158575,0.5,0.125,0
2010,8,"Pitt","county",169378,0.47,0.125,0
2011,8,"Pitt","county",170263,0.47,0.125,0
2012,9,"Pitt","county",172618,0.52,0.1111,0
2013,9,"Pitt","county",173879,0.52,0.1111,0
2014,9,"Pitt","county",174424,0.52,0.1111,0
2015,8,"Pitt","county",175532,0.46,0.125,0
2016,8,"Pitt","county",175885,0.45,0.125,0
2017,9,"Pitt","county",176424,0.51,0.1111,0
2000,1,"Polk","county",18324,0.55,-9,-9
2001,0,"Polk","county",18831,0,-9,-9
2002,0,"Polk","county",19186,0,-9,-9
2003,0,"Polk","county",19541,0,-9,-9
2004,0,"Polk","county",19194,0,-9,-9
2005,0,"Polk","county",19170,0,-9,-9
2006,0,"Polk","county",19088,0,-9,-9
2007,0,"Polk","county",19040,0,-9,-9
2008,0,"Polk","county",18986,0,-9,-9
2009,0,"Polk","county",19345,0,-9,-9
2010,0,"Polk","county",20588,0,-9,-9
2011,0,"Polk","county",20453,0,-9,-9
2012,0,"Polk","county",20262,0,-9,-9
2013,0,"Polk","county",20603,0,-9,-9
2014,0,"Polk","county",20740,0,-9,-9
2015,0,"Polk","county",20828,0,-9,-9
2016,0,"Polk","county",21030,0,-9,-9
2017,0,"Polk","county",21154,0,-9,-9
2000,2,"Randolph","county",130454,0.15,-9,-9
2001,2,"Randolph","county",132131,0.15,-9,-9
2002,2,"Randolph","county",134813,0.15,-9,-9
2003,1,"Randolph","county",137495,0.07,-9,-9
2004,1,"Randolph","county",137385,0.07,-9,-9
2005,1,"Randolph","county",137306,0.07,-9,-9
2006,1,"Randolph","county",138582,0.07,-9,-9
2007,1,"Randolph","county",139422,0.07,-9,-9
2008,1,"Randolph","county",141002,0.07,-9,-9
2009,1,"Randolph","county",142495,0.07,-9,-9
2010,1,"Randolph","county",142127,0.07,-9,-9
2011,1,"Randolph","county",142901,0.07,-9,-9
2012,2,"Randolph","county",142594,0.14,-9,-9
2013,1,"Randolph","county",142561,0.07,-9,-9
2014,1,"Randolph","county",143079,0.07,-9,-9
2015,0,"Randolph","county",142943,0,-9,-9
2016,0,"Randolph","county",143711,0,-9,-9
2017,0,"Randolph","county",144672,0,-9,-9
2000,2,"Richmond","county",46564,0.43,-9,-9
2001,2,"Richmond","county",46570,0.43,-9,-9
2002,2,"Richmond","county",46712,0.43,-9,-9
2003,2,"Richmond","county",46854,0.43,-9,-9
2004,2,"Richmond","county",46594,0.43,-9,-9
2005,2,"Richmond","county",46447,0.43,-9,-9
2006,2,"Richmond","county",46699,0.43,-9,-9
2007,2,"Richmond","county",46672,0.43,-9,-9
2008,2,"Richmond","county",46853,0.43,-9,-9
2009,2,"Richmond","county",46858,0.43,-9,-9
2010,2,"Richmond","county",46630,0.43,-9,-9
2011,2,"Richmond","county",46459,0.43,-9,-9
2012,2,"Richmond","county",46258,0.43,-9,-9
2013,2,"Richmond","county",46041,0.43,-9,-9
2014,2,"Richmond","county",45545,0.44,-9,-9
2015,2,"Richmond","county",45353,0.44,-9,-9
2016,2,"Richmond","county",44912,0.45,-9,-9
2017,2,"Richmond","county",44892,0.45,-9,-9
2000,3,"Robeson","county",123339,0.24,-9,-9
2001,3,"Robeson","county",124132,0.24,-9,-9
2002,3,"Robeson","county",126052,0.24,-9,-9
2003,2,"Robeson","county",127972,0.16,-9,-9
2004,3,"Robeson","county",127253,0.24,-9,-9
2005,2,"Robeson","county",127506,0.16,-9,-9
2006,2,"Robeson","county",129054,0.15,-9,-9
2007,2,"Robeson","county",129425,0.15,-9,-9
2008,3,"Robeson","county",130341,0.23,-9,-9
2009,2,"Robeson","county",131102,0.15,-9,-9
2010,2,"Robeson","county",134502,0.15,-9,-9
2011,2,"Robeson","county",134651,0.15,-9,-9
2012,2,"Robeson","county",134433,0.15,-9,-9
2013,2,"Robeson","county",134010,0.15,-9,-9
2014,2,"Robeson","county",133567,0.15,-9,-9
2015,3,"Robeson","county",133375,0.22,-9,-9
2016,3,"Robeson","county",132657,0.23,-9,-9
2017,4,"Robeson","county",132020,0.3,-9,-9
2000,3,"Rockingham","county",91928,0.33,-9,-9
2001,3,"Rockingham","county",91802,0.33,-9,-9
2002,3,"Rockingham","county",92392,0.32,-9,-9
2003,3,"Rockingham","county",92983,0.32,-9,-9
2004,3,"Rockingham","county",92893,0.32,-9,-9
2005,3,"Rockingham","county",92236,0.33,-9,-9
2006,3,"Rockingham","county",91840,0.33,-9,-9
2007,3,"Rockingham","county",91646,0.33,-9,-9
2008,3,"Rockingham","county",91700,0.33,-9,-9
2009,3,"Rockingham","county",91873,0.33,-9,-9
2010,4,"Rockingham","county",93764,0.43,-9,-9
2011,4,"Rockingham","county",93558,0.43,-9,-9
2012,3,"Rockingham","county",92873,0.32,-9,-9
2013,4,"Rockingham","county",92254,0.43,-9,-9
2014,4,"Rockingham","county",92543,0.43,-9,-9
2015,4,"Rockingham","county",92084,0.43,-9,-9
2016,5,"Rockingham","county",91891,0.54,0.2,0.2
2017,5,"Rockingham","county",91790,0.54,0.2,0.2
2000,3,"Rowan","county",130340,0.23,-9,-9
2001,3,"Rowan","county",131723,0.23,-9,-9
2002,3,"Rowan","county",133922,0.22,-9,-9
2003,3,"Rowan","county",136122,0.22,-9,-9
2004,4,"Rowan","county",135147,0.3,-9,-9
2005,4,"Rowan","county",134094,0.3,-9,-9
2006,4,"Rowan","county",134538,0.3,-9,-9
2007,4,"Rowan","county",136486,0.29,-9,-9
2008,5,"Rowan","county",138545,0.36,0.4,0.2
2009,5,"Rowan","county",140518,0.36,0.4,0.2
2010,5,"Rowan","county",138651,0.36,0.4,0.2
2011,5,"Rowan","county",138309,0.36,0.4,0.2
2012,6,"Rowan","county",138242,0.43,0.3333,0.1667
2013,6,"Rowan","county",138666,0.43,0.3333,0.1667
2014,6,"Rowan","county",138710,0.43,0.3333,0.1667
2015,6,"Rowan","county",140122,0.43,0.3333,0.1667
2016,6,"Rowan","county",140970,0.43,0.3333,0.1667
2017,6,"Rowan","county",141917,0.42,0.3333,0.3333
